Subject,session,score
10,36,32
10,37,10
10,38,0
10,39,-16
10,40,4
10,41,2
10,42,10
10,43,21
10,44,42
11,0,106
11,1,104
11,2,111
11,3,110
11,4,101
11,5,119
11,6,95
11,7,105
11,8,91
11,9,114
11,10,135
11,11,129
11,12,119
11,13,122
11,14,113
11,15,121
11,16,145
11,17,144
11,18,146
11,19,152
11,20,165
11,21,166
11,22,176
11,23,162
11,24,160
11,25,136
11,26,133
11,27,116
11,28,118
11,29,104
11,30,104
12,0,108
12,1,99
12,2,76
12,3,85
12,4,73
12,5,77
12,6,64
12,7,82
12,8,78
12,9,83
12,10,83
12,11,104
12,12,93
12,13,74
12,14,66
12,15,61
12,16,67
12,17,75
12,18,54
12,19,75
12,20,99
12,21,75
12,22,61
12,23,55
12,24,66
12,25,77
12,26,54
12,27,55
12,28,47
12,29,48
12,30,53
12,31,59
12,32,45
12,33,64
12,34,84
12,35,66
12,36,73
13,0,103
13,1,95
13,2,85
13,3,101
13,4,97
13,5,113
13,6,93
13,7,112
13,8,99
13,9,117
13,10,110
13,11,131
13,12,149
13,13,170
13,14,153
13,15,145
13,16,169
13,17,151
13,18,156
13,19,173
13,20,162
13,21,154
13,22,146
13,23,170
13,24,169
13,25,168
13,26,177
13,27,160
13,28,173
13,29,190
13,30,183
13,31,166
13,32,158
13,33,154
13,34,178
13,35,157
13,36,133
13,37,133
13,38,121
13,39,145
13,40,139
13,41,116
14,0,108
14,1,104
14,2,119
14,3,136
14,4,138
14,5,113
14,6,131
14,7,143
14,8,118
14,9,115
14,10,136
14,11,146
14,12,130
14,13,141
14,14,148
14,15,148
14,16,161
14,17,181
14,18,172
14,19,193
14,20,208
14,21,208
14,22,186
14,23,199
14,24,181
14,25,178
14,26,172
14,27,152
14,28,136
14,29,124
14,30,112
14,31,119
14,32,117
14,33,98
14,34,116
14,35,110
14,36,129
14,37,138
15,0,105
15,1,111
15,2,86
15,3,69
15,4,84
15,5,102
15,6,121
15,7,134
15,8,129
15,9,134
15,10,137
15,11,129
15,12,139
15,13,157
15,14,174
15,15,172
15,16,150
15,17,162
15,18,149
15,19,124
15,20,133
15,21,157
15,22,161
15,23,172
15,24,168
15,25,191
15,26,196
15,27,207
15,28,212
15,29,216
15,30,213
15,31,215
15,32,193
15,33,185
15,34,201
16,0,104
16,1,79
16,2,91
16,3,88
16,4,64
16,5,43
16,6,55
16,7,78
16,8,74
16,9,98
16,10,83
16,11,58
16,12,73
16,13,61
16,14,68
16,15,54
16,16,39
16,17,56
16,18,43
16,19,51
16,20,54
16,21,58
16,22,52
16,23,64
16,24,45
16,25,23
16,26,33
16,27,48
16,28,29
16,29,28
16,30,19
16,31,9
16,32,13
16,33,4
16,34,20
16,35,-2
16,36,-22
16,37,-16
16,38,-28
17,0,104
17,1,126
17,2,128
17,3,126
17,4,122
17,5,144
17,6,127
17,7,141
17,8,127
17,9,145
17,10,154
17,11,165
17,12,148
17,13,137
17,14,142
17,15,123
17,16,116
17,17,122
17,18,141
17,19,155
17,20,165
17,21,185
17,22,168
17,23,178
17,24,155
17,25,176
17,26,161
17,27,163
18,0,114
18,1,111
18,2,88
18,3,67
18,4,68
18,5,78
18,6,53
18,7,73
18,8,48
18,9,40
18,10,17
18,11,21
18,12,20
18,13,5
18,14,-15
18,15,-11
18,16,-28
18,17,-26
18,18,-18
18,19,0
18,20,-17
18,21,-22
18,22,-22
18,23,-3
18,24,-15
18,25,-35
18,26,-21
18,27,-29
19,0,106
19,1,98
19,2,109
19,3,125
19,4,107
19,5,120
19,6,115
19,7,118
19,8,101
19,9,87
19,10,99
19,11,95
19,12,92
19,13,111
19,14,131
19,15,135
19,16,115
19,17,132
19,18,145
19,19,130
19,20,148
19,21,164
19,22,174
19,23,182
19,24,181
19,25,169
19,26,165
19,27,174
20,0,111
20,1,106
20,2,119
20,3,114
20,4,105
20,5,105
20,6,96
20,7,118
20,8,133
20,9,152
20,10,166
20,11,159
20,12,152
20,13,143
20,14,119
20,15,138
20,16,146
20,17,121
20,18,110
20,19,87
20,20,107
20,21,94
20,22,83
20,23,74
20,24,61
20,25,68
20,26,53
20,27,75
20,28,72
20,29,93
20,30,105
20,31,105
20,32,88
20,33,110
20,34,133
20,35,125
20,36,122
21,0,107
21,1,93
21,2,95
21,3,79
21,4,84
21,5,102
21,6,101
21,7,125
21,8,133
21,9,109
21,10,104
21,11,90
21,12,74
21,13,87
21,14,92
21,15,75
21,16,80
21,17,64
21,18,88
21,19,71
22,0,120
22,1,139
22,2,162
22,3,146
22,4,143
22,5,140
22,6,160
22,7,147
22,8,125
22,9,143
22,10,160
22,11,141
22,12,120
22,13,134
22,14,151
22,15,128
22,16,120
22,17,133
22,18,128
22,19,130
22,20,135
22,21,138
22,22,159
22,23,172
22,24,169
22,25,176
22,26,175
22,27,197
22,28,199
22,29,181
22,30,169
22,31,185
22,32,178
22,33,159
22,34,167
22,35,156
22,36,172
23,0,105
23,1,92
23,2,87
23,3,91
23,4,104
23,5,106
23,6,91
23,7,90
23,8,107
23,9,86
23,10,71
23,11,50
23,12,65
23,13,79
23,14,84
23,15,88
23,16,68
23,17,62
23,18,53
23,19,56
23,20,53
23,21,40
23,22,29
24,0,118
24,1,124
24,2,138
24,3,153
24,4,168
24,5,168
24,6,163
24,7,175
24,8,159
24,9,144
24,10,143
24,11,147
24,12,133
24,13,152
24,14,166
24,15,172
24,16,160
24,17,153
24,18,149
24,19,140
24,20,138
24,21,128
24,22,143
24,23,158
24,24,146
24,25,132
24,26,114
24,27,107
24,28,112
25,0,104
25,1,89
25,2,64
25,3,49
25,4,64
25,5,53
25,6,30
25,7,49
25,8,68
25,9,86
25,10,81
25,11,103
25,12,83
25,13,71
25,14,52
25,15,69
25,16,84
25,17,94
25,18,94
25,19,95
25,20,76
25,21,55
25,22,79
25,23,56
25,24,64
25,25,67
25,26,67
25,27,61
25,28,85
25,29,78
25,30,87
25,31,101
25,32,101
25,33,111
25,34,108
25,35,119
25,36,111
25,37,127
25,38,133
25,39,122
25,40,108
25,41,118
26,0,112
26,1,102
26,2,109
26,3,125
26,4,120
26,5,127
26,6,137
26,7,148
26,8,172
26,9,150
26,10,150
26,11,167
26,12,189
26,13,169
26,14,192
26,15,200
26,16,222
26,17,230
26,18,246
26,19,254
26,20,232
26,21,239
26,22,224
26,23,247
26,24,260
26,25,254
26,26,247
26,27,270
26,28,260
26,29,235
26,30,241
26,31,247
26,32,267
26,33,280
26,34,292
26,35,286
26,36,310
26,37,320
27,0,114
27,1,109
27,2,88
27,3,67
27,4,64
27,5,66
27,6,84
27,7,68
27,8,44
27,9,55
27,10,60
27,11,50
27,12,50
27,13,32
27,14,33
27,15,10
27,16,-4
27,17,-8
27,18,-6
27,19,-1
27,20,20
27,21,6
27,22,26
27,23,24
27,24,16
27,25,1
27,26,20
27,27,5
27,28,16
27,29,39
27,30,32
28,0,100
28,1,84
28,2,61
28,3,54
28,4,74
28,5,60
28,6,45
28,7,64
28,8,44
28,9,46
28,10,27
28,11,16
28,12,-9
28,13,5
28,14,26
28,15,37
28,16,45
28,17,27
28,18,10
28,19,2
28,20,-6
28,21,-22
28,22,-21
28,23,-45
28,24,-39
28,25,-63
28,26,-42
28,27,-61
28,28,-54
28,29,-64
28,30,-75
28,31,-76
28,32,-87
29,0,106
29,1,81
29,2,60
29,3,61
29,4,49
29,5,34
29,6,30
29,7,20
29,8,33
29,9,48
29,10,48
29,11,48
29,12,23
29,13,0
29,14,6
29,15,-12
29,16,-3
29,17,15
29,18,19
29,19,35
29,20,43
29,21,59
29,22,63
29,23,54
29,24,60
29,25,46
29,26,54
29,27,38
29,28,47
29,29,68
29,30,43
30,0,100
30,1,78
30,2,55
30,3,43
30,4,59
30,5,83
30,6,74
30,7,91
30,8,99
30,9,96
30,10,83
30,11,84
30,12,85
30,13,86
30,14,95
30,15,80
30,16,64
30,17,60
30,18,48
30,19,67
30,20,61
30,21,44
30,22,27
30,23,51
30,24,32
30,25,19
31,0,109
31,1,98
31,2,85
31,3,102
31,4,103
31,5,116
31,6,113
31,7,106
31,8,126
31,9,112
31,10,121
31,11,113
31,12,93
31,13,88
31,14,76
31,15,72
31,16,75
31,17,71
31,18,90
31,19,93
31,20,83
31,21,65
31,22,41
31,23,51
31,24,41
31,25,53
31,26,57
31,27,32
31,28,15
31,29,4
31,30,-17
31,31,-20
31,32,-44
31,33,-25
32,0,119
32,1,121
32,2,97
32,3,110
32,4,122
32,5,110
32,6,97
32,7,80
32,8,75
32,9,83
32,10,64
32,11,48
32,12,64
32,13,51
32,14,37
32,15,54
32,16,41
32,17,20
32,18,-2
32,19,-10
32,20,-6
32,21,-22
32,22,-22
32,23,-3
32,24,5
32,25,-6
32,26,-2
32,27,-25
32,28,-49
32,29,-37
32,30,-34
32,31,-49
32,32,-31
32,33,-9
32,34,-9
32,35,-22
32,36,-34
32,37,-14
33,0,114
33,1,113
33,2,137
33,3,120
33,4,142
33,5,133
33,6,155
33,7,140
33,8,134
33,9,157
33,10,151
33,11,174
33,12,189
33,13,188
33,14,178
33,15,154
33,16,177
33,17,182
33,18,205
33,19,224
33,20,201
33,21,199
33,22,199
33,23,197
33,24,187
33,25,195
33,26,216
33,27,240
33,28,240
34,0,106
34,1,115
34,2,135
34,3,116
34,4,126
34,5,103
34,6,102
34,7,122
34,8,114
34,9,98
34,10,85
34,11,99
34,12,77
34,13,54
34,14,64
34,15,87
34,16,74
34,17,63
34,18,57
34,19,56
34,20,38
34,21,45
34,22,64
34,23,76
34,24,94
34,25,110
34,26,124
34,27,114
35,0,113
35,1,105
35,2,110
35,3,132
35,4,143
35,5,155
35,6,171
35,7,169
35,8,172
35,9,192
35,10,199
35,11,178
35,12,202
35,13,184
35,14,190
35,15,186
35,16,179
35,17,178
35,18,192
35,19,178
35,20,158
35,21,163
35,22,163
35,23,170
35,24,164
35,25,159
35,26,142
35,27,139
35,28,136
35,29,134
35,30,124
35,31,123
35,32,131
35,33,152
35,34,127
35,35,136
35,36,135
35,37,156
35,38,160
35,39,158
35,40,143
35,41,142
35,42,139
36,0,117
36,1,108
36,2,130
36,3,109
36,4,102
36,5,102
36,6,122
36,7,98
36,8,120
36,9,122
36,10,146
36,11,168
36,12,150
36,13,139
36,14,147
36,15,153
36,16,157
36,17,173
36,18,194
36,19,198
36,20,218
36,21,238
36,22,214
36,23,200
36,24,181
36,25,177
36,26,180
36,27,176
36,28,157
36,29,155
36,30,169
36,31,157
37,0,112
37,1,102
37,2,97
37,3,109
37,4,112
37,5,133
37,6,134
37,7,116
37,8,112
37,9,119
37,10,116
37,11,96
37,12,109
37,13,129
37,14,126
37,15,139
37,16,157
37,17,168
37,18,164
37,19,183
37,20,184
37,21,188
37,22,179
37,23,195
37,24,212
37,25,202
37,26,199
37,27,180
37,28,188
37,29,167
37,30,178
37,31,161
37,32,179
37,33,181
37,34,181
37,35,160
37,36,150
37,37,150
37,38,129
37,39,145
38,0,110
38,1,103
38,2,92
38,3,78
38,4,97
38,5,94
38,6,71
38,7,95
38,8,79
38,9,70
38,10,72
38,11,90
38,12,82
38,13,106
38,14,130
38,15,150
38,16,155
38,17,160
38,18,179
38,19,156
38,20,144
38,21,131
38,22,122
38,23,141
38,24,127
38,25,126
38,26,122
38,27,146
38,28,151
38,29,137
39,0,102
39,1,125
39,2,143
39,3,152
39,4,142
39,5,159
39,6,164
39,7,167
39,8,148
39,9,168
39,10,149
39,11,147
39,12,162
39,13,177
39,14,199
39,15,217
39,16,230
39,17,242
39,18,240
39,19,227
39,20,251
39,21,243
39,22,245
39,23,221
39,24,219
39,25,207
39,26,190
39,27,185
40,0,108
40,1,84
40,2,79
40,3,103
40,4,102
40,5,98
40,6,86
40,7,96
40,8,81
40,9,62
40,10,61
40,11,43
40,12,62
40,13,75
40,14,78
40,15,76
40,16,85
40,17,88
40,18,83
40,19,105
40,20,91
40,21,84
40,22,105
40,23,110
40,24,130
40,25,128
40,26,120
40,27,141
40,28,126
41,0,115
41,1,107
41,2,109
41,3,118
41,4,133
41,5,126
41,6,147
41,7,128
41,8,147
41,9,125
41,10,125
41,11,129
41,12,113
41,13,103
41,14,111
41,15,104
41,16,128
41,17,109
41,18,111
41,19,125
41,20,116
41,21,111
41,22,135
41,23,154
41,24,162
41,25,142
41,26,135
41,27,154
41,28,152
42,0,112
42,1,128
42,2,107
42,3,87
42,4,98
42,5,73
42,6,65
42,7,55
42,8,41
42,9,35
42,10,48
42,11,57
42,12,72
42,13,58
42,14,60
42,15,51
42,16,52
42,17,34
42,18,18
42,19,15
42,20,-4
42,21,-7
42,22,-32
42,23,-37
42,24,-35
42,25,-47
42,26,-26
42,27,-24
42,28,-17
42,29,3
42,30,-1
43,0,111
43,1,110
43,2,123
43,3,142
43,4,129
43,5,139
43,6,151
43,7,166
43,8,177
43,9,152
43,10,142
43,11,152
43,12,155
43,13,136
43,14,160
43,15,147
43,16,155
43,17,166
43,18,154
43,19,150
43,20,144
43,21,127
43,22,111
43,23,107
43,24,114
43,25,135
43,26,139
43,27,148
43,28,152
43,29,149
44,0,115
44,1,137
44,2,123
44,3,147
44,4,128
44,5,110
44,6,118
44,7,100
44,8,122
44,9,120
44,10,123
44,11,123
44,12,128
44,13,106
44,14,125
44,15,143
44,16,154
44,17,132
44,18,142
44,19,144
44,20,121
44,21,135
44,22,155
44,23,169
44,24,170
44,25,147
44,26,167
44,27,181
44,28,202
44,29,221
44,30,204
44,31,200
44,32,224
44,33,232
44,34,228
45,0,108
45,1,101
45,2,114
45,3,106
45,4,126
45,5,129
45,6,124
45,7,114
45,8,119
45,9,140
45,10,157
45,11,146
45,12,139
45,13,132
45,14,116
45,15,107
45,16,94
45,17,92
45,18,87
45,19,75
45,20,87
45,21,70
45,22,54
45,23,32
45,24,22
45,25,40
45,26,37
45,27,33
45,28,35
45,29,12
45,30,-3
45,31,-23
45,32,-16
45,33,1
45,34,18
45,35,33
45,36,31
45,37,30
45,38,52
46,0,100
46,1,89
46,2,77
46,3,71
46,4,55
46,5,78
46,6,93
46,7,95
46,8,77
46,9,73
46,10,95
46,11,119
46,12,124
46,13,114
46,14,103
46,15,82
46,16,94
46,17,94
46,18,111
46,19,111
46,20,135
46,21,142
46,22,156
46,23,162
46,24,174
46,25,195
46,26,208
46,27,220
46,28,196
46,29,220
46,30,237
46,31,245
46,32,256
46,33,271
47,0,106
47,1,102
47,2,81
47,3,89
47,4,83
47,5,104
47,6,91
47,7,81
47,8,88
47,9,71
47,10,89
47,11,87
47,12,98
47,13,74
47,14,85
47,15,84
47,16,89
47,17,113
47,18,115
47,19,123
47,20,111
47,21,129
47,22,112
47,23,126
47,24,139
47,25,159
47,26,140
47,27,146
47,28,150
47,29,157
47,30,135
47,31,138
47,32,126
47,33,129
48,0,100
48,1,112
48,2,129
48,3,114
48,4,106
48,5,120
48,6,133
48,7,118
48,8,123
48,9,137
48,10,148
48,11,158
48,12,153
48,13,133
48,14,132
48,15,128
48,16,149
48,17,124
48,18,105
48,19,116
48,20,103
48,21,79
48,22,54
48,23,53
48,24,47
48,25,33
48,26,45
48,27,52
48,28,46
48,29,52
48,30,56
48,31,61
48,32,68
48,33,45
48,34,50
48,35,69
48,36,67
49,0,101
49,1,89
49,2,96
49,3,73
49,4,62
49,5,43
49,6,65
49,7,86
49,8,76
49,9,81
49,10,70
49,11,58
49,12,82
49,13,58
49,14,41
49,15,49
49,16,44
49,17,48
49,18,23
49,19,42
49,20,52
49,21,71
49,22,51
49,23,60
49,24,81
49,25,102
49,26,110
49,27,87
49,28,80
49,29,71
49,30,76
49,31,66
49,32,87
49,33,111
49,34,92
49,35,72
50,0,119
50,1,109
50,2,101
50,3,90
50,4,72
50,5,65
50,6,45
50,7,47
50,8,48
50,9,25
50,10,21
50,11,11
50,12,26
50,13,10
50,14,-8
50,15,1
50,16,3
50,17,-13
50,18,-30
50,19,-6
50,20,12
50,21,19
50,22,18
50,23,14
50,24,27
50,25,6
50,26,-3
50,27,-28
50,28,-30
50,29,-15
50,30,-33
50,31,-9
51,0,101
51,1,116
51,2,139
51,3,116
51,4,125
51,5,132
51,6,115
51,7,104
51,8,115
51,9,92
51,10,72
51,11,83
51,12,82
51,13,77
51,14,73
51,15,52
51,16,61
51,17,81
51,18,88
51,19,111
51,20,103
51,21,108
51,22,113
51,23,104
51,24,86
51,25,107
51,26,101
51,27,81
51,28,60
51,29,82
51,30,61
51,31,84
51,32,68
51,33,63
51,34,58
51,35,33
51,36,19
51,37,-2
51,38,8
52,0,102
52,1,122
52,2,145
52,3,130
52,4,152
52,5,165
52,6,168
52,7,183
52,8,172
52,9,158
52,10,133
52,11,129
52,12,122
52,13,142
52,14,120
52,15,126
52,16,123
52,17,147
52,18,153
52,19,137
52,20,149
52,21,169
52,22,150
52,23,137
52,24,132
52,25,123
52,26,145
52,27,165
52,28,171
52,29,157
52,30,152
53,0,110
53,1,133
53,2,135
53,3,143
53,4,127
53,5,114
53,6,128
53,7,140
53,8,125
53,9,142
53,10,165
53,11,166
53,12,173
53,13,157
53,14,146
53,15,162
53,16,165
53,17,187
53,18,175
53,19,160
53,20,179
53,21,192
53,22,196
53,23,172
53,24,173
53,25,191
53,26,173
53,27,177
53,28,174
53,29,193
53,30,177
53,31,154
53,32,178
54,0,105
54,1,116
54,2,121
54,3,109
54,4,107
54,5,90
54,6,79
54,7,56
54,8,73
54,9,85
54,10,70
54,11,52
54,12,74
54,13,77
54,14,61
54,15,70
54,16,70
54,17,45
54,18,57
54,19,76
54,20,68
54,21,92
54,22,84
54,23,96
54,24,87
54,25,71
55,0,100
55,1,107
55,2,131
55,3,131
55,4,155
55,5,145
55,6,129
55,7,139
55,8,126
55,9,145
55,10,151
55,11,136
55,12,142
55,13,141
55,14,144
55,15,146
55,16,143
55,17,148
55,18,126
55,19,113
55,20,126
55,21,103
55,22,103
55,23,112
55,24,110
56,0,103
56,1,79
56,2,81
56,3,61
56,4,78
56,5,86
56,6,67
56,7,57
56,8,50
56,9,29
56,10,27
56,11,32
56,12,31
56,13,54
56,14,76
56,15,91
56,16,75
56,17,92
56,18,85
56,19,72
56,20,81
56,21,57
56,22,75
56,23,76
56,24,51
56,25,63
56,26,61
56,27,57
56,28,71
56,29,62
56,30,72
56,31,73
57,0,115
57,1,100
57,2,75
57,3,62
57,4,37
57,5,42
57,6,20
57,7,-2
57,8,-4
57,9,6
57,10,-10
57,11,-10
57,12,-16
57,13,-7
57,14,-29
57,15,-29
57,16,-9
57,17,-31
57,18,-39
57,19,-39
57,20,-49
57,21,-25
57,22,-4
57,23,9
57,24,22
57,25,11
57,26,24
57,27,44
57,28,54
57,29,73
58,0,107
58,1,82
58,2,75
58,3,97
58,4,99
58,5,80
58,6,82
58,7,76
58,8,60
58,9,84
58,10,72
58,11,63
58,12,64
58,13,39
58,14,30
58,15,22
58,16,3
58,17,25
58,18,24
58,19,21
58,20,13
58,21,35
58,22,58
59,0,113
59,1,117
59,2,127
59,3,120
59,4,101
59,5,88
59,6,74
59,7,96
59,8,75
59,9,56
59,10,40
59,11,29
59,12,16
59,13,29
59,14,12
59,15,31
59,16,46
59,17,31
59,18,24
59,19,43
59,20,53
59,21,77
59,22,94
59,23,87
59,24,109
59,25,115
59,26,101
59,27,117
59,28,96
59,29,101
59,30,96
59,31,84
59,32,95
59,33,98
59,34,83
59,35,92
59,36,82
59,37,104
60,0,119
60,1,135
60,2,141
60,3,132
60,4,146
60,5,159
60,6,146
60,7,137
60,8,158
60,9,179
60,10,192
60,11,191
60,12,188
60,13,194
60,14,202
60,15,197
60,16,178
60,17,182
60,18,198
60,19,195
60,20,202
60,21,204
60,22,215
60,23,203
60,24,182
60,25,167
60,26,175
60,27,184
60,28,172
60,29,193
60,30,212
60,31,205
60,32,187
60,33,171
60,34,179
60,35,201
60,36,209
61,0,117
61,1,118
61,2,112
61,3,120
61,4,125
61,5,119
61,6,109
61,7,88
61,8,84
61,9,87
61,10,73
61,11,79
61,12,89
61,13,109
61,14,98
61,15,98
61,16,119
61,17,114
61,18,122
61,19,115
61,20,132
61,21,151
61,22,127
61,23,132
61,24,108
61,25,102
61,26,86
61,27,64
61,28,73
61,29,97
61,30,84
61,31,103
61,32,110
61,33,134
61,34,116
61,35,106
61,36,126
61,37,113
61,38,133
61,39,131
61,40,106
61,41,103
61,42,83
62,0,116
62,1,94
62,2,82
62,3,97
62,4,109
62,5,128
62,6,152
62,7,158
62,8,172
62,9,193
62,10,205
62,11,220
62,12,235
62,13,232
62,14,211
62,15,199
62,16,174
62,17,174
62,18,152
62,19,144
62,20,123
62,21,119
62,22,108
62,23,123
62,24,105
62,25,118
62,26,114
62,27,91
62,28,93
62,29,98
62,30,120
63,0,100
63,1,115
63,2,94
63,3,96
63,4,120
63,5,117
63,6,141
63,7,164
63,8,144
63,9,150
63,10,160
63,11,153
63,12,155
63,13,145
63,14,125
63,15,148
63,16,168
63,17,167
63,18,179
63,19,195
63,20,171
63,21,160
63,22,152
63,23,167
63,24,173
63,25,170
63,26,170
63,27,149
63,28,141
64,0,101
64,1,123
64,2,122
64,3,104
64,4,118
64,5,138
64,6,131
64,7,138
64,8,128
64,9,129
64,10,147
64,11,152
64,12,152
64,13,154
64,14,134
64,15,110
64,16,98
64,17,81
64,18,69
64,19,83
64,20,69
64,21,50
64,22,68
64,23,70
64,24,63
64,25,84
64,26,82
64,27,62
64,28,73
64,29,60
64,30,81
64,31,60
64,32,62
64,33,80
64,34,75
64,35,85
65,0,115
65,1,96
65,2,82
65,3,92
65,4,83
65,5,60
65,6,66
65,7,65
65,8,44
65,9,43
65,10,51
65,11,33
65,12,49
65,13,36
65,14,34
65,15,44
65,16,49
65,17,66
65,18,42
65,19,57
65,20,76
65,21,68
65,22,47
65,23,69
65,24,62
65,25,52
65,26,42
65,27,58
65,28,45
65,29,61
65,30,50
65,31,63
65,32,71
65,33,94
65,34,107
65,35,113
65,36,91
65,37,78
65,38,102
66,0,115
66,1,126
66,2,101
66,3,115
66,4,118
66,5,108
66,6,92
66,7,71
66,8,90
66,9,85
66,10,73
66,11,86
66,12,85
66,13,70
66,14,48
66,15,46
66,16,68
66,17,70
66,18,91
66,19,70
66,20,45
66,21,28
66,22,46
66,23,47
66,24,62
66,25,69
66,26,55
66,27,45
67,0,117
67,1,110
67,2,102
67,3,110
67,4,120
67,5,102
67,6,108
67,7,114
67,8,115
67,9,116
67,10,104
67,11,90
67,12,83
67,13,103
67,14,105
67,15,111
67,16,132
67,17,134
67,18,141
67,19,163
67,20,154
67,21,161
67,22,165
67,23,160
67,24,181
67,25,190
67,26,178
67,27,169
67,28,171
67,29,173
67,30,188
67,31,183
67,32,161
67,33,155
67,34,154
67,35,150
67,36,166
68,0,114
68,1,108
68,2,128
68,3,124
68,4,135
68,5,153
68,6,161
68,7,182
68,8,196
68,9,209
68,10,184
68,11,201
68,12,214
68,13,228
68,14,246
68,15,266
68,16,270
68,17,272
68,18,277
68,19,258
68,20,247
68,21,246
68,22,255
68,23,245
68,24,250
68,25,242
68,26,263
68,27,245
68,28,222
68,29,197
68,30,173
69,0,107
69,1,101
69,2,97
69,3,92
69,4,73
69,5,78
69,6,102
69,7,92
69,8,88
69,9,100
69,10,118
69,11,132
69,12,142
69,13,127
69,14,150
69,15,171
69,16,192
69,17,194
69,18,175
69,19,153
69,20,132
69,21,107
69,22,100
69,23,101
69,24,103
69,25,90
69,26,88
69,27,64
69,28,72
69,29,56
69,30,58
69,31,55
69,32,69
69,33,44
70,0,110
70,1,123
70,2,139
70,3,158
70,4,165
70,5,141
70,6,161
70,7,185
70,8,199
70,9,204
70,10,208
70,11,219
70,12,221
70,13,210
70,14,232
70,15,249
70,16,258
70,17,249
70,18,244
70,19,258
70,20,254
70,21,265
70,22,275
70,23,250
70,24,246
70,25,254
70,26,259
70,27,260
70,28,276
70,29,276
70,30,273
70,31,294
71,0,110
71,1,109
71,2,126
71,3,147
71,4,129
71,5,123
71,6,110
71,7,109
71,8,111
71,9,101
71,10,83
71,11,86
71,12,105
71,13,98
71,14,99
71,15,90
71,16,77
71,17,55
71,18,56
71,19,66
71,20,66
71,21,87
71,22,108
71,23,90
71,24,110
71,25,125
71,26,117
71,27,115
71,28,107
71,29,102
71,30,86
71,31,68
71,32,92
72,0,114
72,1,128
72,2,135
72,3,150
72,4,154
72,5,153
72,6,175
72,7,193
72,8,175
72,9,190
72,10,175
72,11,176
72,12,164
72,13,148
72,14,165
72,15,152
72,16,160
72,17,160
72,18,146
72,19,143
72,20,148
72,21,136
72,22,147
72,23,163
72,24,156
72,25,164
72,26,154
